"","movie_title","release_date","genre","mpaa_rating","total_gross","inflation_adjusted_gross","release_year"
"1","Snow White and the Seven Dwarfs",1937-12-21,"Musical","G",184925485,5228953251,1937
"2","Pinocchio",1940-02-09,"Adventure","G",84300000,2188229052,1940
"3","Fantasia",1940-11-13,"Musical","G",83320000,2187090808,1940
"4","Song of the South",1946-11-12,"Adventure","G",6.5e+07,1078510579,1946
"5","Cinderella",1950-02-15,"Drama","G",8.5e+07,920608730,1950
"6","Lady and the Tramp",1955-06-22,"Drama","G",93600000,1236035515,1955
"7","101 Dalmatians",1961-01-25,"Comedy","G",1.53e+08,1362870985,1961
"8","Babes in Toyland",1961-12-14,"Musical","G",10218316,124841160,1961
"9","Bon Voyage!",1962-05-17,"Comedy","Not Rated",9230769,109581646,1962
"10","The Jungle Book",1967-10-18,"Musical","Not Rated",141843000,789612346,1967
"11","The Aristocats",1970-04-24,"Musical","G",55675257,255161499,1970
"12","Splash",1984-03-09,"Comedy","PG",62599495,157057661,1984
"13","Down and Out in Beverly Hills",1986-01-31,"Comedy","R",62134225,141183693,1986
"14","Ruthless People",1986-06-27,"Comedy","R",71624879,162748712,1986
"15","The Color of Money",1986-10-17,"Drama","R",52293000,117957323,1986
"16","Outrageous Fortune",1987-01-30,"Comedy","R",52864741,113976921,1987
"17","Stakeout",1987-08-05,"Comedy","R",65673233,141592160,1987
"18","3 Men and a Baby",1987-11-25,"Comedy","PG",167780960,353334607,1987
"19","Good Morning Vietnam",1987-12-23,"Comedy","R",123922370,254414837,1987
"20","Return to Snowy River",1988-04-15,"Adventure","PG",13687027,28073384,1988
"21","Big Business",1988-06-10,"Comedy","PG",40150487,82352451,1988
"22","Who Framed Roger Rabbit?",1988-06-22,"Comedy","PG",154112492,316250084,1988
"23","Cocktail",1988-07-29,"Drama","R",78222753,160442289,1988
"24","Ernest Saves Christmas",1988-11-11,"Comedy","PG",28202109,57845202,1988
"25","Oliver & Company",1988-11-18,"Adventure","G",49576671,102254492,1988
"26","Beaches",1988-12-21,"Drama","PG-13",57041866,120381757,1988
"27","Three Fugitives",1989-01-27,"Comedy","PG-13",40590000,85757817,1989
"28","New York Stories",1989-03-01,"Drama","PG",10763469,22740861,1989
"29","Dead Poets Society",1989-06-02,"Drama","PG",95860116,202531517,1989
"30","Honey, I Shrunk the Kids",1989-06-23,"Adventure","PG",130724172,276191669,1989
"31","Turner & Hooch",1989-07-28,"Comedy","PG",71079915,150176361,1989
"32","An Innocent Man",1989-10-06,"Drama","R",19397847,40983414,1989
"33","Gross Anatomy",1989-10-20,"Drama","PG-13",11346186,23972012,1989
"34","The Little Mermaid",1989-11-15,"Adventure","G",111543479,223726012,1989
"35","Blaze",1989-12-13,"Drama","R",19049727,39884640,1989
"36","Stella",1990-02-02,"Drama","PG-13",20062347,40077147,1990
"37","Pretty Woman",1990-03-23,"Romantic Comedy","R",178406268,356389765,1990
"38","Ernest Goes to Jail",1990-04-06,"Comedy","PG",25029569,49999822,1990
"39","Spaced Invaders",1990-04-27,"Comedy","PG",1.5e+07,29964452,1990
"40","Fire Birds",1990-05-24,"Action","PG-13",14760451,29485923,1990
"41","Dick Tracy",1990-06-15,"Action","PG",103738726,207231621,1990
"42","Betsy's Wedding",1990-06-22,"Comedy","R",19740070,39433357,1990
"43","Arachnophobia",1990-07-18,"Thriller/Suspense","PG-13",53208180,106290270,1990
"44","DuckTales: The Movie - Treasure of th…",1990-08-03,"Adventure","G",18075331,36107823,1990
"45","Taking Care of Business",1990-08-17,"Comedy","R",20005435,39963460,1990
"46","Mr. Destiny",1990-10-12,"Comedy","PG-13",15379253,30722056,1990
"47","The Rescuers Down Under",1990-11-16,"Adventure","G",27931461,55796728,1990
"48","3 Men and a Little Lady",1990-11-21,"Comedy","PG",71609321,143108869,1990
"49","Green Card",1990-12-25,"Romantic Comedy","PG-13",29804169,59679131,1990
